,Gini (RF),Permutation (Stacking),SHAP Mean |val| (XGB)
Age_BMI_Interaction,0.10014593984636101,,0.14853124
Age_Group,0.02764456986282696,0.003333333333333336,
Age_Numeric,0.12804132582240457,,0.6110006
AlcoholDrinking,,0.005333333333333338,
BMI,0.025122553704615143,0.010666666666666677,0.05962754
Comorbidity_Age,0.11778204422035973,0.014000000000000012,0.28564385
Comorbidity_Count,0.0384690026745279,,
Comorbidity_Level,0.02459841032744205,,
DiffWalking,0.013647233796569267,,
GenHealth,0.08832504472107613,,0.14934029
Health_Score,0.07505613945170592,,0.35906634
KidneyDisease,,,0.03241093
Lifestyle_Category,,0.0040000000000000036,
Lifestyle_Score,,0.0046666666666666705,
PhysicalActivity,,0.0046666666666666705,0.03698838
PhysicalHealth,0.01882131196660445,0.006666666666666672,0.050622527
Risk_Score,0.08554260936203345,,0.37896806
Risk_Tier,0.06383408365729007,0.0046666666666666705,
Sex,0.029119324407136885,0.015333333333333346,0.3282623
SkinCancer,,0.005333333333333338,0.034024533
SleepTime,,,0.049587183
Smoking,,,0.04980467
State_HD_Prevalence,,0.0046666666666666705,
State_Health_Rank,,0.0046666666666666705,
State_Median_Income_K,,0.003333333333333336,
State_Smoking_Rate,,0.0046666666666666705,
Stroke,0.010870918201250659,,0.066329956
