Model,FPR,TPR,AUC
Best Model (Stacking),0.0,0.0,0.8396951170190871
Best Model (Stacking),0.0,0.00018264840182648402,0.8396951170190871
Best Model (Stacking),1.7098693659804392e-05,0.00018264840182648402,0.8396951170190871
Best Model (Stacking),1.7098693659804392e-05,0.0025570776255707762,0.8396951170190871
Best Model (Stacking),5.1296080979413176e-05,0.0025570776255707762,0.8396951170190871
Best Model (Stacking),5.1296080979413176e-05,0.004383561643835616,0.8396951170190871
Best Model (Stacking),6.839477463921757e-05,0.004383561643835616,0.8396951170190871
Best Model (Stacking),6.839477463921757e-05,0.0051141552511415524,0.8396951170190871
Best Model (Stacking),8.549346829902196e-05,0.0051141552511415524,0.8396951170190871
Best Model (Stacking),8.549346829902196e-05,0.0052968036529680365,0.8396951170190871
Best Model (Stacking),0.00010259216195882635,0.0052968036529680365,0.8396951170190871
Best Model (Stacking),0.00010259216195882635,0.005844748858447489,0.8396951170190871
Best Model (Stacking),0.00011969085561863074,0.005844748858447489,0.8396951170190871
Best Model (Stacking),0.00011969085561863074,0.006940639269406392,0.8396951170190871
Best Model (Stacking),0.00013678954927843514,0.006940639269406392,0.8396951170190871
Best Model (Stacking),0.00013678954927843514,0.007488584474885845,0.8396951170190871
Best Model (Stacking),0.0001538882429382395,0.007488584474885845,0.8396951170190871
Best Model (Stacking),0.0001538882429382395,0.007671232876712329,0.8396951170190871
Best Model (Stacking),0.00017098693659804392,0.007671232876712329,0.8396951170190871
Best Model (Stacking),0.00017098693659804392,0.007853881278538814,0.8396951170190871
Best Model (Stacking),0.0001880856302578483,0.007853881278538814,0.8396951170190871
Best Model (Stacking),0.0001880856302578483,0.008401826484018264,0.8396951170190871
Best Model (Stacking),0.0002051843239176527,0.008401826484018264,0.8396951170190871
Best Model (Stacking),0.0002051843239176527,0.008584474885844748,0.8396951170190871
Best Model (Stacking),0.00022228301757745708,0.008584474885844748,0.8396951170190871
Best Model (Stacking),0.00022228301757745708,0.008767123287671232,0.8396951170190871
Best Model (Stacking),0.00023938171123726149,0.008767123287671232,0.8396951170190871
Best Model (Stacking),0.00023938171123726149,0.0091324200913242,0.8396951170190871
Best Model (Stacking),0.00025648040489706586,0.0091324200913242,0.8396951170190871
Best Model (Stacking),0.00025648040489706586,0.009680365296803653,0.8396951170190871
Best Model (Stacking),0.00027357909855687027,0.009680365296803653,0.8396951170190871
Best Model (Stacking),0.00027357909855687027,0.010228310502283105,0.8396951170190871
Best Model (Stacking),0.000307776485876479,0.010228310502283105,0.8396951170190871
Best Model (Stacking),0.000307776485876479,0.010958904109589041,0.8396951170190871
Best Model (Stacking),0.00034197387319608784,0.010958904109589041,0.8396951170190871
Best Model (Stacking),0.00034197387319608784,0.01132420091324201,0.8396951170190871
Best Model (Stacking),0.000393269954175501,0.01132420091324201,0.8396951170190871
Best Model (Stacking),0.000393269954175501,0.011506849315068493,0.8396951170190871
Best Model (Stacking),0.0004103686478353054,0.011506849315068493,0.8396951170190871
Best Model (Stacking),0.0004103686478353054,0.012420091324200914,0.8396951170190871
Best Model (Stacking),0.00044456603515491416,0.012420091324200914,0.8396951170190871
Best Model (Stacking),0.00044456603515491416,0.012602739726027398,0.8396951170190871
Best Model (Stacking),0.00046166472881471857,0.012602739726027398,0.8396951170190871
Best Model (Stacking),0.00046166472881471857,0.013333333333333334,0.8396951170190871
Best Model (Stacking),0.00047876342247452297,0.013333333333333334,0.8396951170190871
Best Model (Stacking),0.00047876342247452297,0.013515981735159817,0.8396951170190871
Best Model (Stacking),0.0004958621161343273,0.013515981735159817,0.8396951170190871
Best Model (Stacking),0.0004958621161343273,0.014794520547945205,0.8396951170190871
Best Model (Stacking),0.0005129608097941317,0.014794520547945205,0.8396951170190871
Best Model (Stacking),0.0005129608097941317,0.01497716894977169,0.8396951170190871
Best Model (Stacking),0.0005471581971137405,0.01497716894977169,0.8396951170190871
Best Model (Stacking),0.0005471581971137405,0.015342465753424657,0.8396951170190871
Best Model (Stacking),0.0005642568907735449,0.015342465753424657,0.8396951170190871
Best Model (Stacking),0.0005642568907735449,0.016073059360730592,0.8396951170190871
Best Model (Stacking),0.0005984542780931536,0.016073059360730592,0.8396951170190871
Best Model (Stacking),0.0005984542780931536,0.016255707762557078,0.8396951170190871
Best Model (Stacking),0.000615552971752958,0.016255707762557078,0.8396951170190871
Best Model (Stacking),0.000615552971752958,0.01643835616438356,0.8396951170190871
Best Model (Stacking),0.0006326516654127625,0.01643835616438356,0.8396951170190871
Best Model (Stacking),0.0006326516654127625,0.016621004566210046,0.8396951170190871
Best Model (Stacking),0.0006497503590725669,0.016621004566210046,0.8396951170190871
Best Model (Stacking),0.0006497503590725669,0.01863013698630137,0.8396951170190871
Best Model (Stacking),0.0007010464400519801,0.01863013698630137,0.8396951170190871
Best Model (Stacking),0.0007010464400519801,0.018812785388127855,0.8396951170190871
Best Model (Stacking),0.0007181451337117844,0.018812785388127855,0.8396951170190871
Best Model (Stacking),0.0007181451337117844,0.021187214611872146,0.8396951170190871
Best Model (Stacking),0.0007352438273715888,0.021187214611872146,0.8396951170190871
Best Model (Stacking),0.0007352438273715888,0.021917808219178082,0.8396951170190871
Best Model (Stacking),0.0007694412146911976,0.021917808219178082,0.8396951170190871
Best Model (Stacking),0.0007694412146911976,0.02228310502283105,0.8396951170190871
Best Model (Stacking),0.0008036386020108064,0.02228310502283105,0.8396951170190871
Best Model (Stacking),0.0008036386020108064,0.022465753424657533,0.8396951170190871
Best Model (Stacking),0.0008378359893304151,0.022465753424657533,0.8396951170190871
Best Model (Stacking),0.0008378359893304151,0.02319634703196347,0.8396951170190871
Best Model (Stacking),0.0008549346829902195,0.02319634703196347,0.8396951170190871
Best Model (Stacking),0.0008549346829902195,0.023561643835616437,0.8396951170190871
Best Model (Stacking),0.0008720333766500239,0.023561643835616437,0.8396951170190871
Best Model (Stacking),0.0008720333766500239,0.023744292237442923,0.8396951170190871
Best Model (Stacking),0.0008891320703098283,0.023744292237442923,0.8396951170190871
Best Model (Stacking),0.0008891320703098283,0.025205479452054796,0.8396951170190871
Best Model (Stacking),0.0009062307639696327,0.025205479452054796,0.8396951170190871
Best Model (Stacking),0.0009062307639696327,0.025753424657534246,0.8396951170190871
Best Model (Stacking),0.0009233294576294371,0.025753424657534246,0.8396951170190871
Best Model (Stacking),0.0009233294576294371,0.025936073059360732,0.8396951170190871
Best Model (Stacking),0.0009404281512892415,0.025936073059360732,0.8396951170190871
Best Model (Stacking),0.0009404281512892415,0.02666666666666667,0.8396951170190871
Best Model (Stacking),0.0009917242322686546,0.02666666666666667,0.8396951170190871
Best Model (Stacking),0.0009917242322686546,0.02684931506849315,0.8396951170190871
Best Model (Stacking),0.0010259216195882635,0.02684931506849315,0.8396951170190871
Best Model (Stacking),0.0010259216195882635,0.027031963470319633,0.8396951170190871
Best Model (Stacking),0.0010430203132480679,0.027031963470319633,0.8396951170190871
Best Model (Stacking),0.0010430203132480679,0.027579908675799087,0.8396951170190871
Best Model (Stacking),0.001094316394227481,0.027579908675799087,0.8396951170190871
Best Model (Stacking),0.001094316394227481,0.027945205479452055,0.8396951170190871
Best Model (Stacking),0.0011456124752068943,0.027945205479452055,0.8396951170190871
Best Model (Stacking),0.0011456124752068943,0.028127853881278538,0.8396951170190871
Best Model (Stacking),0.0011627111688666985,0.028127853881278538,0.8396951170190871
Best Model (Stacking),0.0011627111688666985,0.028310502283105023,0.8396951170190871
Best Model (Stacking),0.0011798098625265029,0.028310502283105023,0.8396951170190871
Best Model (Stacking),0.0011798098625265029,0.028493150684931506,0.8396951170190871
Best Model (Stacking),0.0011969085561863073,0.028493150684931506,0.8396951170190871
Best Model (Stacking),0.0011969085561863073,0.02904109589041096,0.8396951170190871
Best Model (Stacking),0.0012140072498461117,0.02904109589041096,0.8396951170190871
Best Model (Stacking),0.0012140072498461117,0.029223744292237442,0.8396951170190871
Best Model (Stacking),0.001231105943505916,0.029223744292237442,0.8396951170190871
Best Model (Stacking),0.001231105943505916,0.030136986301369864,0.8396951170190871
Best Model (Stacking),0.0012482046371657205,0.030136986301369864,0.8396951170190871
Best Model (Stacking),0.0012482046371657205,0.030319634703196346,0.8396951170190871
Best Model (Stacking),0.0012995007181451337,0.030319634703196346,0.8396951170190871
Best Model (Stacking),0.0012995007181451337,0.030502283105022832,0.8396951170190871
Best Model (Stacking),0.001350796799124547,0.030502283105022832,0.8396951170190871
Best Model (Stacking),0.001350796799124547,0.0308675799086758,0.8396951170190871
Best Model (Stacking),0.0013678954927843514,0.0308675799086758,0.8396951170190871
Best Model (Stacking),0.0013678954927843514,0.031050228310502283,0.8396951170190871
Best Model (Stacking),0.0013849941864441558,0.031050228310502283,0.8396951170190871
Best Model (Stacking),0.0013849941864441558,0.03123287671232877,0.8396951170190871
Best Model (Stacking),0.0014020928801039602,0.03123287671232877,0.8396951170190871
Best Model (Stacking),0.0014020928801039602,0.03178082191780822,0.8396951170190871
Best Model (Stacking),0.0014191915737637643,0.03178082191780822,0.8396951170190871
Best Model (Stacking),0.0014191915737637643,0.032511415525114155,0.8396951170190871
Best Model (Stacking),0.0014533889610833732,0.032511415525114155,0.8396951170190871
Best Model (Stacking),0.0014533889610833732,0.03269406392694064,0.8396951170190871
Best Model (Stacking),0.001487586348402982,0.03269406392694064,0.8396951170190871
Best Model (Stacking),0.001487586348402982,0.03305936073059361,0.8396951170190871
Best Model (Stacking),0.001573079816702004,0.03305936073059361,0.8396951170190871
Best Model (Stacking),0.001573079816702004,0.033607305936073056,0.8396951170190871
Best Model (Stacking),0.0016243758976814172,0.033607305936073056,0.8396951170190871
Best Model (Stacking),0.0016243758976814172,0.03415525114155251,0.8396951170190871
Best Model (Stacking),0.0016414745913412216,0.03415525114155251,0.8396951170190871
Best Model (Stacking),0.0016414745913412216,0.03452054794520548,0.8396951170190871
Best Model (Stacking),0.001658573285001026,0.03452054794520548,0.8396951170190871
Best Model (Stacking),0.001658573285001026,0.03506849315068493,0.8396951170190871
Best Model (Stacking),0.0017269680596402434,0.03506849315068493,0.8396951170190871
Best Model (Stacking),0.0017269680596402434,0.035799086757990865,0.8396951170190871
Best Model (Stacking),0.0017611654469598522,0.035799086757990865,0.8396951170190871
Best Model (Stacking),0.0017611654469598522,0.0365296803652968,0.8396951170190871
Best Model (Stacking),0.001795362834279461,0.0365296803652968,0.8396951170190871
Best Model (Stacking),0.001795362834279461,0.03671232876712329,0.8396951170190871
Best Model (Stacking),0.0018124615279392655,0.03671232876712329,0.8396951170190871
Best Model (Stacking),0.0018124615279392655,0.03689497716894977,0.8396951170190871
Best Model (Stacking),0.0018466589152588743,0.03689497716894977,0.8396951170190871
Best Model (Stacking),0.0018466589152588743,0.03726027397260274,0.8396951170190871
Best Model (Stacking),0.0018637576089186787,0.03726027397260274,0.8396951170190871
Best Model (Stacking),0.0018637576089186787,0.03762557077625571,0.8396951170190871
Best Model (Stacking),0.001880856302578483,0.03762557077625571,0.8396951170190871
Best Model (Stacking),0.001880856302578483,0.03872146118721461,0.8396951170190871
Best Model (Stacking),0.001932152383557896,0.03872146118721461,0.8396951170190871
Best Model (Stacking),0.001932152383557896,0.03890410958904109,0.8396951170190871
Best Model (Stacking),0.0019492510772177005,0.03890410958904109,0.8396951170190871
